currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,seriousCount,suspectedIncr,currentConfirmedIncr,confirmedIncr,curedIncr,deadIncr,seriousIncr,updateTime,
1014,84367,1639,78710,4643,997,3,-126,26,152,0,23,2020-04-28,
1102,84341,1636,78596,4643,974,2,-144,3,146,1,-26,2020-04-27,
1227,84338,1634,78469,4642,1000,5,-93,14,107,0,17,2020-04-26,
1286,84330,1629,78402,4642,983,11,-147,19,166,0,4,2020-04-25,
1383,84313,1618,78288,4642,979,2,-130,11,141,0,-5,2020-04-24,
1473,84305,1616,78190,4642,984,6,-130,18,148,0,-7,2020-04-23,
1557,84294,1610,78095,4642,991,23,-117,44,161,0,-1,2020-04-22,
1620,84278,1587,78016,4642,992,4,-80,41,121,0,2,2020-04-21,
1649,84239,1583,77948,4642,990,8,-85,38,123,0,-9,2020-04-20,
1704,84225,1575,77879,4642,999,9,-90,45,135,0,-18,2020-04-19,
1751,84185,1566,77792,4642,1017,17,-121,36,157,0,-21,2020-04-18,
1796,84156,1549,77718,4642,1038,15,-145,359,-786,1290,6,2020-04-17,
1891,83799,1534,78556,3352,1032,34,-113,54,167,0,9,2020-04-16,
1965,83752,1500,78435,3352,1023,36,-118,56,173,1,18,2020-04-15,
2025,83700,1464,78324,3351,1005,86,-76,103,179,0,-59,2020-04-14,
2108,83607,1378,78148,3351,1064,98,-5,125,128,2,61,2020-04-13,
2109,83523,1280,78065,3349,1086,97,24,154,130,0,-6,2020-04-12,
2075,83400,1183,77976,3349,1092,42,-47,95,138,4,-5,2020-04-11,
2096,83324,1141,77882,3346,1097,38,-98,75,171,2,-7,2020-04-10,
2174,83264,1103,77746,3344,1104,61,-55,107,160,2,56,2020-04-09,
2220,83189,1042,77627,3342,1095,59,-120,59,177,2,137,2020-04-08,
2288,83095,983,77467,3340,1033,32,-61,58,119,0,30,2020-04-07,
2332,83039,951,77367,3340,1047,38,-49,109,157,1,78,2020-04-06,
2371,82966,913,77257,3338,1024,25,-185,91,273,3,-6,2020-04-05,
2568,82899,888,76996,3335,1030,18,-83,144,223,4,3,2020-04-04,
2716,82857,870,76810,3331,1027,29,-71,133,200,4,60,2020-04-03,
2835,82772,841,76610,3327,1422,35,-14,191,199,6,55,2020-04-02,
2932,82691,806,76438,3321,1367,35,-74,146,213,7,-174,2020-04-01,
3048,82601,771,76239,3314,528,30,-227,137,357,7,-109,2020-03-31,
3236,82505,723,75956,3313,633,30,-199,164,356,7,-109,2020-03-30,
3509,82421,693,75606,3306,742,44,-281,208,484,5,-179,2020-03-29,
3857,82282,649,75124,3301,921,54,-186,204,387,3,-113,2020-03-28,
4123,82164,595,74743,3298,1034,54,-348,204,547,5,-201,2020-03-27,
4537,82034,541,74204,3293,1235,67,-231,188,413,6,-164,2020-03-26,
4813,81896,474,73796,3287,1399,47,-352,149,497,4,-174,2020-03-25,
5220,81806,427,73303,3283,1573,74,-263,206,462,7,-176,2020-03-24,
5567,81691,376,72848,3276,1749,62,-282,193,466,9,-96,2020-03-23,
5909,81566,317,72390,3267,1845,48,-370,150,514,6,-118,2020-03-22,
6311,81457,269,71885,3261,1963,41,-452,157,601,8,-173,2020-03-21,
6838,81385,228,71292,3255,2136,39,-601,149,745,5,-178,2020-03-20,
7452,81263,190,70561,3250,2314,35,-732,112,836,8,-308,2020-03-19,
8183,81202,155,69777,3242,2622,12,-903,86,978,11,-208,2020-03-18,
9084,81135,143,68820,3231,2830,20,-912,58,957,13,-202,2020-03-17,
9951,81099,123,67930,3218,3032,12,-871,51,908,14,-194,2020-03-16,
10821,81062,114,67037,3204,3226,19,-1357,41,1388,10,-384,2020-03-15,
12160,81029,95,65675,3194,3610,7,-1447,26,1459,14,-410,2020-03-14,
13600,81007,88,64226,3181,4020,3,-1332,15,1339,8,-237,2020-03-13,
14884,80981,85,62924,3173,4257,6,-1342,26,1357,11,-235,2020-03-12,
16139,80969,86,61668,3162,4492,17,-1663,45,1686,22,-302,2020-03-11,
17595,80932,72,60197,3140,4794,5,-1502,28,1513,17,-317,2020-03-10,
18957,80905,421,58824,3124,5111,60,-1659,46,1681,24,-153,2020-03-09,
20355,80868,458,57412,3101,5264,84,-1908,55,1935,28,-225,2020-03-08,
22184,80815,502,55558,3073,5489,99,-1688,105,1765,28,-248,2020-03-07,
23721,80734,482,53968,3045,5737,102,-1720,169,1859,30,-215,2020-03-06,
25260,80581,522,52305,3016,5952,143,-2264,159,2391,32,-464,2020-03-05,
27430,80424,520,50010,2984,6416,143,-2666,122,2750,38,-390,2020-03-04,
29921,80303,587,47434,2948,6806,129,-2820,129,2916,33,-304,2020-03-03,
32415,80175,715,44845,2915,7110,141,-3005,207,3170,42,-255,2020-03-02,
34937,79972,851,42162,2873,7365,132,-2565,583,3113,35,-299,2020-03-01,
37248,79394,1418,39308,2838,7664,248,-2763,435,3151,47,-288,2020-02-29,
39859,78962,2308,36312,2791,7952,452,-3493,332,3781,44,-394,2020-02-28,
42968,78631,2358,32916,2747,8346,508,-2729,441,3141,29,-406,2020-02-27,
45399,78195,2491,30078,2718,8752,439,-2361,416,2725,52,-374,2020-02-26,
47464,77785,2824,27655,2666,9126,530,-2446,523,2898,71,-789,2020-02-25,
49666,77269,3434,25007,2596,9915,620,-1828,423,2100,151,-1053,2020-02-24,
51420,77048,4148,23183,2445,10968,882,-1952,656,2511,97,-509,2020-02-23,
52973,76396,5365,21075,2348,11477,1361,-2502,403,2796,109,-156,2020-02-22,
54645,75571,5206,18687,2239,11633,1614,-1741,896,2519,118,-231,2020-02-21,
55837,74680,4922,16721,2122,11864,1277,-2046,404,2334,116,-113,2020-02-20,
57337,74284,5248,14938,2009,11977,1185,-760,1756,2377,139,236,2020-02-19,
57657,72532,6242,13003,1872,11741,1432,-348,1895,2143,100,1097,2020-02-18,
57594,70644,7264,11278,1772,10644,1563,101,2060,1853,106,-628,2020-02-17,
57165,68595,8228,9763,1667,11272,1918,215,2020,1662,143,219,2020-02-16,
56563,66581,8969,8494,1524,11053,2277,740,2649,1766,143,849,2020-02-15,
55476,63950,10109,7092,1382,10204,2450,3543,5111,1446,122,2174,2020-02-14,
52324,59907,13435,6215,1368,8030,2807,13452,15177,1471,254,-174,2020-02-13,
,44765,16067,5066,1116,8204,3342,,2057,1068,99,871,2020-02-12,
,42747,21675,4301,1017,7333,3536,,2523,1019,108,849,2020-02-11,
,40262,23589,3551,909,6484,4008,,3100,900,97,296,2020-02-10,
,37289,28942,2900,813,6188,3916,,2695,849,90,87,2020-02-09,
,34673,27657,2375,724,6101,4214,,3476,833,87,1280,2020-02-08,
,31264,26359,1753,637,4821,4833,,3204,600,73,962,2020-02-07,
,28138,24702,1373,564,3859,5328,,3775,481,73,640,2020-02-06,
,24434,23260,1018,493,3219,3971,,3960,388,68,431,2020-02-05,
,20530,23214,718,426,2788,5072,,3294,243,65,492,2020-02-04,
,17341,21558,527,361,2296,5173,,2930,199,57,186,2020-02-03,
,14490,19544,434,304,0,,,,,,,2020-02-02,
,11901,17988,275,259,,,,,,,,2020-02-01,
,9811,15238,214,213,,,,,,,,2020-01-31,
,8149,12167,135,171,,,,,,,,2020-01-30,
,6095,9239,119,133,,,,,,,,2020-01-29,
,4630,6973,73,106,,,,,,,,2020-01-28,
,2857,5794,56,82,,,,,,,,2020-01-27,
,2076,2692,49,56,,,,,,,,2020-01-26,
,1408,2032,39,42,,,,,,,,2020-01-25,
,897,1076,36,26,,,,,,,,2020-01-24,
